,Time:512Hz,Epoch,Electrode,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma,Blink Strength,Event Id,Event Date,Event Duration,Band 0.00 - 70.00
119,0.232421875,3,10.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,8575.847173556547
120,0.234375,3,-321.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,13210.742411809495
121,0.236328125,3,-462.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,9723.569167807027
122,0.23828125,3,-322.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,8854.864741372628
123,0.240234375,3,-38.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,1165.3667347971436
124,0.2421875,3,216.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,5633.345098840215
125,0.244140625,3,392.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,6140.013153565498
126,0.24609375,3,476.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,11012.529483814767
127,0.248046875,3,476.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,7290.424101301461
128,0.25,4,356.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,5047.3869287365405
129,0.251953125,4,71.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,6097.525552492142
130,0.25390625,4,-263.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,12354.312341968971
131,0.255859375,4,-459.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,4160.917448573479
132,0.2578125,4,-410.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,5999.125684642726
133,0.259765625,4,-185.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,7211.22325132789
134,0.26171875,4,52.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,8127.453223832769
135,0.263671875,4,273.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,9334.238495582089
136,0.265625,4,432.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,6844.500144891202
137,0.267578125,4,484.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,7280.551720645437
138,0.26953125,4,405.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,6877.157468572619
139,0.271484375,4,149.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,8298.824429864939
140,0.2734375,4,-187.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,6816.15464091291
141,0.275390625,4,-423.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,13776.294081517164
142,0.27734375,4,-449.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,9721.776540421713
143,0.279296875,4,-258.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,7530.722496311689
144,0.28125,4,33.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,6388.574064720445
145,0.283203125,4,290.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,6114.807083159819
146,0.28515625,4,425.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,2866.1430401130847
147,0.287109375,4,475.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,7990.5091484501245
148,0.2890625,4,436.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,5328.109087599225
149,0.291015625,4,264.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,9464.974800083235
150,0.29296875,4,-72.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,5347.912695641114
151,0.294921875,4,-420.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,4381.109001766691
152,0.296875,4,-542.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,6437.279854390241
153,0.298828125,4,-379.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,7927.038575532604
154,0.30078125,4,-87.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,8304.218542584893
155,0.302734375,4,167.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,5734.49974822571
156,0.3046875,4,344.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,6697.120487447081
157,0.306640625,4,433.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,5335.361276130015
158,0.30859375,4,453.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,6672.023878448027
159,0.310546875,4,357.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,4270.19137518535
160,0.3125,5,85.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,7529.500870476967
161,0.314453125,5,-258.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,10358.431805386826
162,0.31640625,5,-469.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,5720.991885619249
163,0.318359375,5,-421.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,10266.0210222645
164,0.3203125,5,-170.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,8596.277210429249
165,0.322265625,5,84.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,5572.67555874404
166,0.32421875,5,272.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,7593.92749017578
167,0.326171875,5,401.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,12145.931047851755
168,0.328125,5,444.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,6160.672216750391
169,0.330078125,5,356.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,7201.32886167659
